ID	HighScore	NoOfUsersWithHighScore	NoOfReadsinPuzzle	NoOfUsableReadsinPuzzle	UserPercentDifferntToBWA	MeanPercentOfReadsDifferent
786	860	2	20	20	100	100.0
787	860	2	20	20	100	100.0
788	857	3	20	20	100	100.0
789	812	2	20	20	100	100.0
790	836	1	20	20	100	100.0
791	852	6	20	20	100	100.0
792	852	3	20	20	100	100.0
793	846	2	20	20	100	100.0
794	848	1	20	20	100	100.0
795	860	5	20	20	100	100.0
796	860	5	20	20	100	100.0
797	838	1	20	20	100	85.0
798	820	3	20	20	100	66.66666666666667
799	900	10	20	20	0	0
800	888	1	20	20	100	15.0
801	915	10	20	20	0	0
802	980	13	20	20	0	0
803	932	6	20	20	0	0
804	936	2	20	20	100	5.0
805	940	11	20	20	0	0
806	916	1	20	20	100	15.0
807	918	6	20	20	100	15.0
808	938	9	20	20	0	0
809	946	8	20	20	0	0
810	993	2	20	20	100	5.0
811	979	8	20	20	0	0
812	995	6	20	20	0	0
813	992	10	20	20	0	0
814	993	4	20	20	100	5.0
815	1000	3	20	20	0	0
816	980	4	20	20	100	5.0
817	985	5	20	20	100	5.0
818	984	8	20	20	0	0
819	1000	8	20	20	0	0
820	993	2	20	20	100	5.0
821	1000	15	20	20	0	0
822	1000	16	20	20	0	0
823	986	1	20	20	100	10.0
824	1000	6	20	20	0	0
825	1000	16	20	20	6	5.0
826	1000	8	20	20	0	0
827	1000	10	20	20	0	0
828	1000	11	20	20	0	0
829	990	2	20	20	100	5.0
830	993	2	20	20	100	5.0
831	990	9	20	20	0	0
832	984	6	20	20	0	0
833	971	5	20	20	0	0
834	962	1	20	20	100	10.0
835	990	8	20	20	0	0
836	990	4	20	18	0	0
837	1000	15	20	20	0	0
838	993	2	20	20	100	5.0
839	990	6	20	20	0	0
840	1000	6	20	20	0	0
841	992	8	20	20	0	0
842	980	1	20	20	100	10.0
843	993	3	20	20	100	10.0
844	992	9	20	20	0	0
845	1000	12	20	20	0	0
846	1016	9	20	20	88	5.0
847	992	10	20	20	0	0
848	1000	6	20	20	0	0
849	1000	5	20	20	0	0
850	992	4	20	20	100	5.0
