date	userType	sessions	users	sessionDuration	avgSessionDuration
20140201	Returning Visitor	36	18	59774.0	1660.388888888889
20140202	Returning Visitor	43	17	70672.0	1643.5348837209303
20140203	Returning Visitor	46	23	87537.0	1902.9782608695652
20140204	Returning Visitor	53	28	70822.0	1336.2641509433963
20140205	Returning Visitor	40	19	70908.0	1772.7
20140206	Returning Visitor	53	22	156160.0	2946.4150943396226
20140207	Returning Visitor	53	25	128897.0	2432.0188679245284
20140208	Returning Visitor	48	18	120846.0	2517.625
20140209	Returning Visitor	50	22	145283.0	2905.66
20140210	Returning Visitor	41	18	131259.0	3201.439024390244
20140211	Returning Visitor	58	23	124489.0	2146.362068965517
20140212	Returning Visitor	55	22	144063.0	2619.327272727273
20140213	Returning Visitor	65	24	112054.0	1723.9076923076923
20140214	Returning Visitor	52	20	119350.0	2295.1923076923076
20140215	Returning Visitor	40	22	69495.0	1737.375
20140216	Returning Visitor	57	25	81955.0	1437.8070175438597
20140217	Returning Visitor	72	27	144736.0	2010.2222222222222
20140218	Returning Visitor	49	21	106190.0	2167.1428571428573
20140219	Returning Visitor	52	24	124882.0	2401.576923076923
20140220	Returning Visitor	51	19	114496.0	2245.0196078431372
20140221	Returning Visitor	44	20	105702.0	2402.318181818182
20140222	Returning Visitor	35	19	56640.0	1618.2857142857142
20140223	Returning Visitor	29	16	32068.0	1105.7931034482758
20140224	Returning Visitor	33	17	73892.0	2239.151515151515
20140225	Returning Visitor	49	18	110213.0	2249.2448979591836
20140226	Returning Visitor	48	24	100488.0	2093.5
20140227	Returning Visitor	48	22	82634.0	1721.5416666666667
20140228	Returning Visitor	48	20	91291.0	1901.8958333333333
20140301	Returning Visitor	22	11	35495.0	1613.409090909091
20140302	Returning Visitor	30	14	53432.0	1781.0666666666666
20140303	Returning Visitor	43	18	71158.0	1654.8372093023256
20140304	Returning Visitor	33	17	39626.0	1200.7878787878788
20140305	Returning Visitor	33	18	77852.0	2359.151515151515
20140306	Returning Visitor	35	17	54947.0	1569.9142857142858
20140307	Returning Visitor	38	23	69325.0	1824.342105263158
20140308	Returning Visitor	27	20	36997.0	1370.2592592592594
20140309	Returning Visitor	39	18	57775.0	1481.4102564102564
20140310	Returning Visitor	36	19	68392.0	1899.7777777777778
20140311	Returning Visitor	38	20	67877.0	1786.2368421052631
20140312	Returning Visitor	42	22	79000.0	1880.952380952381
20140313	Returning Visitor	44	21	79177.0	1799.4772727272727
20140314	Returning Visitor	46	19	83895.0	1823.804347826087
